id,name,description,detail,summary,category,price,brand,promotion,quantity,view,created_at,updated_at
11,Laptop Lenovo Thinkpad Z16 Gen 1 21D4000CUS - Cũ Trầy Xước,"Mua Laptop Lenovo Thinkpad Z16 Gen 1 21D4000CUS cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: AMD Radeon™ 680M
- Dung lượng RAM: 16GB
- Loại RAM: LPDDR5 6400MHz
- Ổ cứng: SSD 512GB M.2 2280 PCIe® 4.0 (Nâng cấp)
- Kích thước màn hình: 16 inches
- Công nghệ màn hình: 16&quot; WUXGA (1920x1200) Non-touch, IPS, 400nits, Anti-glare, 16:10, 100% sRGB, 60Hz, Low power, TÜV Low Blue Light
- Pin: 72Wh
- Hệ điều hành: Windows 11
- Độ phân giải màn hình: 1920 x 1200 pixels (WUXGA)
- Loại CPU: AMD Ryzen™ 7 PRO 6850H (8 Cores, 16 Threads, 3,2 GHz Base, 4,7 GHz Turbo, 16MB Cache)
- Cổng giao tiếp: 1 x combo jack (3,5mm)1 x đầu đọc thẻ SD1 x USB-C® 3.2 Gen 22 x USB4® 40Gbps (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort™ 1.4a)","Mua Laptop Lenovo Thinkpad Z16 Gen 1 21D4000CUS cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,13290000,Lenovo,0,161,0,2024-04-09 03:06:59,2026-03-29 12:13:07
12,Laptop MSI Gaming GF63 Thin 10SC-813VN - Cũ Trầy Xước,"Mua Laptop MSI Gaming GF63 Thin 10SC-813VN cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: NVIDIA GeForce GTX 1650 4GB
- Dung lượng RAM: 16GB
- Loại RAM: LPDDR5x 8400MHz
- Ổ cứng: SSD 512GB
- Kích thước màn hình: 15.6 inches
- Công nghệ màn hình: 15.6 inch Full HDIPSViền màn hình siêu mỏng
- Pin: 7 giờ
- Hệ điều hành: Windows 10
- Loại CPU: Intel Core i7 10750H thế hệ 10 xung nhịp 2,60 GHz Turbo Boost 5,00 GHz, bộ nhớ đệm 12MB, 6 nhân 12 luồng","Mua Laptop MSI Gaming GF63 Thin 10SC-813VN cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,8990000,MSI,2,118,0,2024-04-03 10:58:21,2026-03-29 12:13:07
13,Máy tính bảng Huawei MatePad Pro 12.2 2025 12GB 512GB - Cũ trầy xước,"Mua máy tính bảng Huawei MatePad Pro 2025 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Kích thước màn hình: 12.2 inches
- Công nghệ màn hình: Tandem OLED PaperMatte
- Camera sau: 50 MP (f/1.8, AF) + 8 MP góc rộng (f/2.2, FF)
- Camera trước: 8 MP (f/2.0, FF)
- Dung lượng RAM: 12 GB
- Bộ nhớ trong: 512 GB
- Pin: 10.100 mAh
- Hệ điều hành: HarmonyOS 4.3
- Độ phân giải màn hình: 2800 x 1840 pixels
- Tính năng màn hình: 1.07 tỷ màu2000 nitsGam màu rộng P3274 ppiĐộ tương phản 2,000,000:1
- Tương thích: Bút cảm ứng Huawei M-PencilBàn phím trượt Huawei Glide","Mua máy tính bảng Huawei MatePad Pro 2025 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Khác,12690000,Huawei,2,46,0,2026-02-01 05:41:32,2026-03-29 12:13:07
14,Ốp lưng iPhone 11 Pro Max Likgus BVC Clear,"Mua Ốp lưng iPhone 11 Pro Max Likgus BVC Clear chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Dòng sản phẩm: iPhone 11 Pro max
- Phân loại ốp: Chống sốc, Ốp trong
- Tính năng: Siêu mỏng, Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: Likgus","Mua Ốp lưng iPhone 11 Pro Max Likgus BVC Clear chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Điện thoại,110000,Likgus,0,85,0,2024-10-26 11:57:43,2026-03-29 12:13:07
15,Ốp lưng iPhone 12 Pro Max Likgus with Magsafe Clear,"Mua Ốp lưng iPhone 12 Pro Max Likgus with Magsafe Clear chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Dòng sản phẩm: iPhone 12 Pro Max
- Phân loại ốp: Chống sốc, Ốp trong
- Tính năng: Hỗ trợ sạc MagSafe, Hỗ trợ sạc không dây, Siêu mỏng, Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: Likgus","Mua Ốp lưng iPhone 12 Pro Max Likgus with Magsafe Clear chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Điện thoại,150000,Likgus,0,122,0,2024-07-09 05:30:34,2026-03-29 12:13:07
16,Ốp lưng iPhone 14 Pro ESR Air Armor Clear,"Mua Ốp lưng iPhone 14 Pro ESR Air Armor Clear chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Dòng sản phẩm: iPhone 14 Pro
- Phân loại ốp: Chống sốc, Ốp trong, Ốp nhựa cứng
- Tính năng: Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: ESR","Mua Ốp lưng iPhone 14 Pro ESR Air Armor Clear chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Điện thoại,99000,ESR,0,32,0,2026-02-01 12:46:10,2026-03-29 12:13:07
17,Ốp lưng iPhone 14 Pro Itskins Ballistic R Nylon,"Mua Ốp lưng iPhone 14 Pro Itskins Ballistic R Nylon chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc","- Dòng sản phẩm: iPhone 14 Pro
- Phân loại ốp: Chống sốc
- Tính năng: Siêu mỏng, Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: Itskins","Mua Ốp lưng iPhone 14 Pro Itskins Ballistic R Nylon chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc",Điện thoại,99000,Itskins,0,56,0,2025-12-27 16:41:58,2026-03-29 12:13:07
18,Ốp lưng iPhone 14 Pro TGVIS Space Cool Sky,"Mua Ốp lưng iPhone 14 Pro TGVIS Space Cool Sky chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.","- Dòng sản phẩm: iPhone 14 Pro
- Phân loại ốp: Chống sốc, Ốp dẻo
- Tính năng: Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: TGVIS","Mua Ốp lưng iPhone 14 Pro TGVIS Space Cool Sky chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Điện thoại,99000,TGVIS,2,56,0,2024-09-27 01:12:05,2026-03-29 12:13:07
19,Ốp lưng iPhone 14 Pro TGVIS Space Space Man,"Mua Ốp lưng iPhone 14 Pro TGVIS Space Space Man chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.","- Dòng sản phẩm: iPhone 14 Pro
- Phân loại ốp: Chống sốc, Ốp dẻo
- Tính năng: Hỗ trợ sạc không dây, Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: TGVIS","Mua Ốp lưng iPhone 14 Pro TGVIS Space Space Man chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Điện thoại,99000,TGVIS,2,54,0,2026-03-07 07:41:26,2026-03-29 12:13:07
20,Ốp lưng iPhone 15 Likgus with Magsafe Clear,"Mua Ốp lưng iPhone 15 Likgus with Magsafe Clear chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Dòng sản phẩm: iPhone 15
- Phân loại ốp: Chống sốc, Ốp trong
- Tính năng: Hỗ trợ sạc MagSafe, Hỗ trợ sạc không dây, Siêu mỏng, Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: Likgus","Mua Ốp lưng iPhone 15 Likgus with Magsafe Clear chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Điện thoại,140000,Likgus,0,129,0,2024-07-15 02:56:50,2026-03-29 12:13:07
21,Ốp lưng iPhone 15 Pro Araree Nukin Clear,"Mua Ốp lưng iPhone 15 Pro Araree Nukin Clear chính hãng - Giá rẻ, đảm bảo","- Chất liệu: Polycarbonate
- Dòng sản phẩm: iPhone 15 Pro
- Phân loại ốp: Chống sốc, Ốp trong
- Tính năng: Siêu mỏng, Chống sốc, va đập, Chống ngả màu, Chống trầy xước
- Hãng sản xuất: Araree","Mua Ốp lưng iPhone 15 Pro Araree Nukin Clear chính hãng - Giá rẻ, đảm bảo",Điện thoại,150000,Araree,0,57,0,2024-06-30 07:45:37,2026-03-29 12:13:07
22,Ốp lưng iPhone 15 Pro JCPal DualPro with Magsafe Clear,"Mua ngay Ốp lưng iPhone 15 Pro JCPal DualPro with Magsafe Clear chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Chất liệu: PC &amp; TPU trong suốt
- Dòng sản phẩm: iPhone 15 Pro
- Phân loại ốp: Chống sốc, Ốp trong
- Tính năng: Hỗ trợ sạc MagSafe, Hỗ trợ sạc không dây, Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: JCPal","Mua ngay Ốp lưng iPhone 15 Pro JCPal DualPro with Magsafe Clear chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Điện thoại,150000,JCPal,0,125,0,2025-06-05 06:55:10,2026-03-29 12:13:07
23,Ốp lưng iPhone 15 Pro Jinya T-Stand with Magsafe,"Mua Ốp lưng iPhone 15 Pro Jinya T-Stand with Magsafe chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Dòng sản phẩm: iPhone 15 Pro
- Phân loại ốp: Chống sốc, Ốp trong, Ốp nhựa cứng
- Tính năng: Hỗ trợ sạc MagSafe, Hỗ trợ sạc không dây, Có chân đứng, Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: Jinya","Mua Ốp lưng iPhone 15 Pro Jinya T-Stand with Magsafe chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Điện thoại,150000,Jinya,0,63,0,2024-09-13 13:54:14,2026-03-29 12:13:07
24,Ốp lưng iPhone 15 Pro Max Araree Duple Clear,"Mua Ốp lưng iPhone 15 Pro Max Araree Duple Clear chính hãng - Giá rẻ, đảm bảo","- Chất liệu: TPU + Polycarbonate
- Dòng sản phẩm: iPhone 15 Pro Max
- Phân loại ốp: Chống sốc, Ốp trong
- Tính năng: Hỗ trợ sạc không dây, Siêu mỏng, Chống sốc, va đập, Chống ngả màu, Chống trầy xước
- Hãng sản xuất: Araree","Mua Ốp lưng iPhone 15 Pro Max Araree Duple Clear chính hãng - Giá rẻ, đảm bảo",Điện thoại,150000,Araree,0,139,0,2024-08-12 19:37:19,2026-03-29 12:13:07
25,Ốp lưng iPhone 15 Pro Max Likgus With Magsafe,"Mua Ốp lưng iPhone 15 Pro Max Likgus With Magsafe chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Dòng sản phẩm: iPhone 15 Pro Max
- Phân loại ốp: Chống sốc, Ốp trong
- Tính năng: Hỗ trợ sạc MagSafe, Hỗ trợ sạc không dây, Siêu mỏng, Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: Likgus","Mua Ốp lưng iPhone 15 Pro Max Likgus With Magsafe chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Điện thoại,150000,Likgus,0,72,0,2024-10-04 03:25:07,2026-03-29 12:13:07
26,Ốp lưng iPhone 15 Pro Max TGVIS Art,"Mua Ốp lưng iPhone 15 Pro Max TGVIS Art chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Chất liệu: TPU+ PC+ Metal
- Dòng sản phẩm: iPhone 15 Pro Max
- Phân loại ốp: Chống sốc
- Tính năng: Siêu mỏng, Có chân đứng, Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: TGVIS","Mua Ốp lưng iPhone 15 Pro Max TGVIS Art chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Điện thoại,150000,TGVIS,2,74,0,2025-02-05 13:30:07,2026-03-29 12:13:07
27,Ốp lưng iPhone 15 Pro TGVIS Art,"Mua Ốp lưng iPhone 15 Pro TGVIS Art chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Chất liệu: TPU+ PC+ Metal
- Dòng sản phẩm: iPhone 15 Pro
- Phân loại ốp: Chống sốc
- Tính năng: Siêu mỏng, Có chân đứng, Chống sốc, va đập, Chống trầy xước
- Hãng sản xuất: TGVIS","Mua Ốp lưng iPhone 15 Pro TGVIS Art chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Điện thoại,150000,TGVIS,2,149,0,2025-11-05 00:39:15,2026-03-29 12:13:07
28,PC Rosa Office 3200G,"Mua ngay PC Rosa Office 3200G giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.","- Loại card đồ họa: Radeon Vega 8
- Dung lượng RAM: 32GB
- Loại RAM: DDR4 8GB 3200Hz
- Số khe ram: 1 x 8GB
- Ổ cứng: SSD 240G/256G 2.5&quot; SATA
- Tản nhiệt: Wraith Stealth
- Hệ điều hành: Window 11 Pro
- Loại CPU: AMD Ryzen 3 3200G","Mua ngay PC Rosa Office 3200G giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Khác,8290000,Hãng khác,0,89,0,2025-07-09 17:29:28,2026-03-29 12:13:07
29,PC Rosa Office 5500GT,"Mua ngay PC Rosa Office 5500GT giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.","- Loại card đồ họa: Radeon Vega 8
- Dung lượng RAM: 32GB
- Loại RAM: DDR4 8GB 3200Hz
- Số khe ram: 1 x 8GB
- Ổ cứng: SSD 240G/256G 2.5&quot; SATA
- Mainboard: AMD A520
- Tản nhiệt: Wraith Stealth
- Hệ điều hành: Window 11 Pro
- Loại CPU: AMD Ryzen 3 5500GT","Mua ngay PC Rosa Office 5500GT giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Khác,10690000,Hãng khác,0,8,0,2025-09-07 20:22:33,2026-03-29 12:13:07
