id,name,description,detail,summary,category,price,brand,promotion,quantity,view,created_at,updated_at
1,HONOR X8d 8GB 128GB - Đã kích hoạt,"Mua điện thoại HONOR X8d 8GB 128GB đã kích hoạt bảo hành, đổi mới 30 ngày, có trả góp 0%","- Kích thước màn hình: 6.77 inches
- Công nghệ màn hình: AMOLED
- Camera sau: Camera chính 108MP (f/1.75) + Camera rộng 5MP (f/2.2)
- Camera trước: 16MP (f/2.45)
- Chipset: Snapdragon 6s 4G thế hệ 2
- Công nghệ NFC: Có
- Dung lượng RAM: 8 GB
- Bộ nhớ trong: 128 GB
- Pin: 6800mAh (giá trị định mức), 7000 mAh (giá trị điển hình)
- Thẻ SIM: 2 Nano-SIM
- Hệ điều hành: MagicOS 10 (Dựa trên Android 16)
- Độ phân giải màn hình: 1080 x 2392 pixels
- Tính năng màn hình: Màu sắc: 1,07 tỷ màuCông nghệ Eye Comfort800 nit (điển hình) 1300 nit (loại HBM) 3000 nit (loại APL)Chất liệu kính Thủy tinh Aluminosilicate
- Loại CPU: Octa-core, 4 * A73 2,9 GHz + 4 * A53 1,9 GHz","Mua điện thoại HONOR X8d 8GB 128GB đã kích hoạt bảo hành, đổi mới 30 ngày, có trả góp 0%",Điện thoại,6290000,HONOR,2,46,0,2026-02-23 12:57:26,2026-03-29 12:13:07
2,POCO X8 Pro Max 5G 12GB 256GB - Đã kích hoạt,"Mua điện thoại Poco X8 Pro Max 12GB/256GB đã kích hoạt bảo hành, đổi mới 30 ngày, có trả góp 0%","- Kích thước màn hình: 6.83 inches
- Công nghệ màn hình: AMOLED
- Camera sau: 50 MP f/1.5 (cảm biến Light Hunter 600, OIS) + 8 MP (góc siêu rộng)
- Camera trước: 20 MP
- Chipset: MediaTek Dimensity 9500s
- Dung lượng RAM: 12 GB
- Bộ nhớ trong: 256 GB
- Pin: 8.500 mAh
- Thẻ SIM: Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM
- Hệ điều hành: Xiaomi HyperOS 3 (Android 16)
- Độ phân giải màn hình: 2772 x 1280 pixels
- Tính năng màn hình: Độ sáng tối đa 3.500 nits, PWM 3840Hz, 68 tỷ màu, dải màu DCI-P3, HDR10+
- Loại CPU: 1 × Cortex-X925 (tối đa 3.73GHz) + 3 × Cortex-X4 (tối đa 3.3GHz) + 4 × Cortex-A720 (tối đa 2.4GHz)","Mua điện thoại Poco X8 Pro Max 12GB/256GB đã kích hoạt bảo hành, đổi mới 30 ngày, có trả góp 0%",Điện thoại,12390000,Xiaomi,2,199,0,2025-08-18 21:56:23,2026-03-29 12:13:07
3,Giá đỡ iPad/Điện thoại Rain Design (USA) MStand tản nhiệt,"Mua Giá đỡ iPad/Điện thoại Rain Design (USA) MStand tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Hãng sản xuất: Rain Design
- Chất liệu: Hợp kim nhôm nguyên khối (Aluminum)
- Tiện ích: Thiết kế khe cắm cáp iPhone dễ dàngGiữ iPad ở chế độ dọc hoặc ngangmStand tạo ra những góc độ để xem máy tính bảng thoải mái hơn","Mua Giá đỡ iPad/Điện thoại Rain Design (USA) MStand tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Tablet,981000,Rain Design,2,22,0,2024-07-05 10:39:08,2026-03-29 12:13:07
4,Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar Pro Foldable tản nhiệt,"Mua Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar Pro Foldable tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Hãng sản xuất: Rain Design
- Chất liệu: Hợp kim nhôm nguyên khối (Aluminum)
- Tiện ích: Giá đỡ có thể gấp gọn lạiNâng máy tính xách tay lên 75mmmBar Pro giúp tăng luồng khí xung quang và dưới máy tính xách tay","Mua Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar Pro Foldable tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Laptop,1512000,Rain Design,2,9,0,2025-07-02 22:27:16,2026-03-29 12:13:07
5,Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar tản nhiệt,"Mua Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.","- Hãng sản xuất: Rain Design
- Chất liệu: Hợp kim nhôm nguyên khối (Aluminum)
- Tiện ích: Nâng máy tính xách tay lên 75mmmBar giúp tăng luồng khí xung quanh và dưới máy tính xách tay","Mua Giá đỡ Laptop/Macbook Rain Design (Usa) Mbar tản nhiệt chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",Laptop,711000,Rain Design,2,14,0,2025-04-21 09:31:04,2026-03-29 12:13:07
6,Laptop Acer Aspire Lite 15 AL15-51M-55NB NX.KRSSV.001 - Cũ Đẹp,"Mua Laptop Acer Aspire Lite 15 AL15-51M-55NB NX.KRSSV.001 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: Intel Iris Xe
- Dung lượng RAM: 8GB
- Ổ cứng: 512GB SSD PCIe NVMe
- Kích thước màn hình: 15.6 inches
- Công nghệ màn hình: 15.6 inch Full HD 1080pAcer BlueLightShield
- Hệ điều hành: Windows 11
- Độ phân giải màn hình: 1920 x 1080 pixels (FullHD)
- Loại CPU: Intel Core i5 1155G7 4 lõi 8 luồng, tốc độ tối đa lên đến 4.5 GHz
- Cổng giao tiếp: 2 cổng USB-A1 cổng USB-C 3.2 Gen 2Cổng xuất hình HDMI 1.4Jack cắm tai ngheEthernet RJ-45","Mua Laptop Acer Aspire Lite 15 AL15-51M-55NB NX.KRSSV.001 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,8390000,Acer,2,196,0,2025-03-07 01:03:19,2026-03-29 12:13:07
7,Laptop Dell Inspiron 16 5630 - Cũ Trầy Xước,"Mua Laptop Dell Inspiron 16 5630 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: Intel Iris Xe Graphics
- Dung lượng RAM: 16GB
- Loại RAM: LPDDR5 4800MHz
- Ổ cứng: SSD 512GB M.2 PCIe NVMe
- Kích thước màn hình: 16 inches
- Công nghệ màn hình: 16&#x27;&#x27; FHD+ (1920 x 1200; 16:10) Anti-Glare Non-Touch 250nits WVA Display with ComfortView Support
- Pin: 4-Cell, 54Wh
- Hệ điều hành: Windows 11
- Độ phân giải màn hình: 1920 x 1200 pixels (FullHD+)
- Loại CPU: Intel core i5-1340P (12 cores, 16 Threads, up to 4.6GHz, 12MB cache)
- Cổng giao tiếp: 2x USB 3.2 Gen 1 Type A1x USB Type-C Thunderbolt 4.0 port with DisplayPort and Power Delivery1x HDMI 1.4 port1x SD-card slot1x Jack tai nghe 3.5mm1x Power-adapter port 4.5 mm x 2.9 mm DC-in","Mua Laptop Dell Inspiron 16 5630 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,13990000,Dell,2,49,0,2024-08-17 03:14:55,2026-03-29 12:13:07
8,Laptop Dell Vostro 3530 V5I5267W1 - Cũ Trầy Xước,"Mua Laptop Dell Vostro 3530 V5I5267W1 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: Intel Iris Xe Graphics có điều kiện khi sử dụng Dual RAM (với Ram 8GB : Intel UHD)
- Dung lượng RAM: 8GB
- Loại RAM: DDR4 3200Mhz
- Số khe ram: 2 khe
- Ổ cứng: SSD 256GB NVMe
- Kích thước màn hình: 15.6 inches
- Công nghệ màn hình: 15.6 inch FHD (1920 x 1080) 250 nits WVA Anti- Glare LED Backlit Narrow Border Display
- Pin: 3 Cell, 41 Wh
- Hệ điều hành: Windows 11 Home
- Độ phân giải màn hình: 1920 x 1080 pixels (FullHD)
- Loại CPU: Intel Core i5-1335U (tối đa 4.60 GHz, 12MB)
- Cổng giao tiếp: 1 x Ethernet RJ-451 USB 3.2 Gen 1 port1 USB 2.0 port1 USB 3.2 Gen 1 Type-C® port1 USB 3.2 Gen 1 Type-C® port with DisplayPort Alt Mode 1.4/Power Delivery1 Universal audio port1 HDMI 1.4 port","Mua Laptop Dell Vostro 3530 V5I5267W1 cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,9390000,Lenovo,2,175,0,2025-12-19 14:57:25,2026-03-29 12:13:07
9,Laptop Lenovo Thinkbook X G2 IAH 21TU0002CD - Cũ Đẹp,"Mua Laptop Lenovo Thinkbook X G2 IAH 21TU0002CD cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Chip AI: Intel AI Boost
- Loại card đồ họa: Intel® Arc™ 140T
- Dung lượng RAM: 32GB
- Loại RAM: LPDDR5x 8400MHz
- Ổ cứng: 1TB PCIe NVMe M.2 SSD gen 4
- Kích thước màn hình: 13.5 inches
- Công nghệ màn hình: 13.5 inch, 2.8K (2880x1920), IPS, 500 nits, 120Hz, 100% sRGB
- Pin: 4 cell 74whr
- Hệ điều hành: Windows 11
- Độ phân giải màn hình: 2880 x 1920 pixels
- Loại CPU: Intel® Core™ Ultra 5 225H (14 nhân 14 luồng, xung nhịp tối đa có thể đạt P-core 4.9GHz / E-core 4.3GHz, 18 MB Intel® Smart Cache)
- Cổng giao tiếp: 3x USB Type-C1x 3.5mm headphone/microphone combo jack","Mua Laptop Lenovo Thinkbook X G2 IAH 21TU0002CD cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,21290000,Lenovo,0,197,0,2024-09-14 18:25:35,2026-03-29 12:13:07
10,Laptop Lenovo ThinkPad P16V Gen 1 21FC001YUS - Cũ Trầy Xước,"Mua Laptop Lenovo ThinkPad P16V Gen 1 21FC001YUS cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.","- Loại card đồ họa: NVIDIA® RTX A500 4GB GDDR6
- Dung lượng RAM: 64GB
- Loại RAM: DDR5
- Ổ cứng: M2.2280 512GB
- Kích thước màn hình: 16 inches
- Công nghệ màn hình: Full HD (1920x1200)IPS300nitsAntiglare100% sRGB
- Pin: Integrated Li-Polymer 90Wh battery
- Hệ điều hành: Windows 11 Pro
- Độ phân giải màn hình: 1920 x 1200 pixels
- Loại CPU: 13th Generation Intel® Core™ i7 13700H Processor Base Frequency 3.70GHz, Max Turbo 5.00GHz ( 14 Cores, 20 Threads, 24MB Smart Cache)
- Cổng giao tiếp: 2x USB 3.2 Gen 1 (one Always On)2x Thunderbolt™ 4 / USB4® 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.4)1x HDMI® 2.1, up to 8K/60Hz1x Headphone / microphone combo jack (3.5mm)1x SD Express 7.0 card reader1x Sec","Mua Laptop Lenovo ThinkPad P16V Gen 1 21FC001YUS cũ giá rẻ - Nguồn gốc rõ ràng, bảo hành 6-12 tháng, đổi mới 30 ngày, luôn xuất bán đầy đủ VAT.",Laptop,21090000,Lenovo,0,139,0,2025-03-14 10:11:00,2026-03-29 12:13:07
